track_id,name,album,album_id,artist_name,artist_id,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,is_solo,Cluster_Hierarchical
0sFTeQMlO1jJgxyfdDrAZl,Close My Eyes,Butterfly,7aDBFWp72Pz4NZEtVBANi9,Mariah Carey,4iHNK0tOyZPYnBU7nGAgpQ,0,0.604,0.3939999999999999,3,-11.852,True,0.0276,0.622,2.92e-06,0.31,0.268,103.753,259867,4.0,1,1
2PWnjWaIVuDeT4mXZgHWgR,Whenever You Call,Butterfly,7aDBFWp72Pz4NZEtVBANi9,Mariah Carey,4iHNK0tOyZPYnBU7nGAgpQ,0,0.327,0.384,10,-8.093,True,0.032,0.612,1.28e-06,0.1169999999999999,0.0524,129.985,260627,4.0,1,1
4EmUMZZlRubBd1q97ik0m3,Fly Away (Butterfly Reprise),Butterfly,7aDBFWp72Pz4NZEtVBANi9,Mariah Carey,4iHNK0tOyZPYnBU7nGAgpQ,0,0.597,0.48,11,-9.096,False,0.0357,0.0201,0.0003399999999999,0.0793,0.1939999999999999,124.979,229107,4.0,1,0
6t0c7t14prrgAZ0yLXMlrv,The Beautiful Ones (Featuring Dru Hill) (feat. Dru Hill),Butterfly,7aDBFWp72Pz4NZEtVBANi9,Mariah Carey,4iHNK0tOyZPYnBU7nGAgpQ,0,0.708,0.615,5,-5.504,False,0.0374,0.4,4.76e-06,0.171,0.62,114.712,417667,4.0,0,0
5bRQLbNUqL8jx07dal6JHZ,Outside,Butterfly,7aDBFWp72Pz4NZEtVBANi9,Mariah Carey,4iHNK0tOyZPYnBU7nGAgpQ,0,0.3289999999999999,0.3929999999999999,7,-8.043,True,0.031,0.688,4.2700000000000015e-05,0.108,0.0539,111.378,286067,3.0,1,1
2qaWSNAp5XJpOETtk0lVqY,It Doesn't Get Any Countrier Than This,Not A Moment Too Soon,18eJ4H4smFp29lRMsLygUc,Tim McGraw,6roFdX1y5BYSbp60OTJWMd,0,0.608,0.85,9,-9.154,True,0.0313,0.115,2.92e-06,0.143,0.8390000000000001,145.009,151307,4.0,1,0
7bNDFrHTqxu3gNvMTO1aY8,Give It To Me Strait,Not A Moment Too Soon,18eJ4H4smFp29lRMsLygUc,Tim McGraw,6roFdX1y5BYSbp60OTJWMd,0,0.602,0.7170000000000001,8,-9.916,True,0.0376,0.0544,0.0,0.1889999999999999,0.826,164.94,166227,4.0,1,0
5aJspmuLq55KVtw0iojoyQ,Wouldn't Want It Any Other Way,Not A Moment Too Soon,18eJ4H4smFp29lRMsLygUc,Tim McGraw,6roFdX1y5BYSbp60OTJWMd,0,0.595,0.3720000000000001,7,-12.953,True,0.027,0.173,0.0,0.136,0.467,132.67,231400,4.0,1,0
65N3RYCN1DgfY0Zcv5k9kr,Down On The Farm,Not A Moment Too Soon,18eJ4H4smFp29lRMsLygUc,Tim McGraw,6roFdX1y5BYSbp60OTJWMd,0,0.721,0.735,5,-11.849,False,0.0284,0.115,0.0,0.0499,0.961,127.575,178867,4.0,1,0
2UkIpSe2slw66MpmsP4Rdb,Not A Moment Too Soon,Not A Moment Too Soon,18eJ4H4smFp29lRMsLygUc,Tim McGraw,6roFdX1y5BYSbp60OTJWMd,0,0.7070000000000001,0.363,7,-14.798,True,0.0288,0.0385,1.41e-05,0.23,0.621,120.626,227867,4.0,1,1
1fYypIR0kaFzaSRbzvtjl9,Indian Outlaw,Not A Moment Too Soon,18eJ4H4smFp29lRMsLygUc,Tim McGraw,6roFdX1y5BYSbp60OTJWMd,0,0.664,0.7390000000000001,9,-7.229,True,0.0415,0.0364,4.99e-05,0.282,0.759,110.101,182120,4.0,1,0
3ad5lkh61Lsyzlvck0zMol,Refried Dreams,Not A Moment Too Soon,18eJ4H4smFp29lRMsLygUc,Tim McGraw,6roFdX1y5BYSbp60OTJWMd,0,0.7709999999999999,0.6859999999999999,6,-11.05,True,0.0284,0.173,0.0,0.103,0.962,124.621,166800,4.0,1,0
2wmEryA2YLaFwFvA63n3O2,Don't Take The Girl,Not A Moment Too Soon,18eJ4H4smFp29lRMsLygUc,Tim McGraw,6roFdX1y5BYSbp60OTJWMd,0,0.439,0.4539999999999999,0,-8.669,True,0.0308,0.2789999999999999,0.0,0.123,0.354,204.263,249360,4.0,1,0
3K1gcmCknGWEmZCV1Wrvlg,40 Days And 40 Nights,Not A Moment Too Soon,18eJ4H4smFp29lRMsLygUc,Tim McGraw,6roFdX1y5BYSbp60OTJWMd,0,0.7070000000000001,0.491,3,-11.138,True,0.0299,0.231,0.0,0.139,0.909,106.567,179227,4.0,1,0
0CM2b2ot93bClD6i08Vq0s,Ain't That Just Like A Dream,Not A Moment Too Soon,18eJ4H4smFp29lRMsLygUc,Tim McGraw,6roFdX1y5BYSbp60OTJWMd,0,0.643,0.557,7,-11.067,True,0.0295,0.0672,1.08e-06,0.255,0.755,134.82,203707,4.0,1,0
3rqRp5qP3sCQ4haCsUtAnv,The Trouble With Never,A Place In The Sun,2EkJjknrgd5DeIH2x9HLjD,Tim McGraw,6roFdX1y5BYSbp60OTJWMd,0,0.603,0.616,7,-7.927,True,0.0251,0.0584,0.0,0.309,0.405,96.86,254307,4.0,1,0
5rpyTHDG26DofzYC0lNOhK,Seventeen,A Place In The Sun,2EkJjknrgd5DeIH2x9HLjD,Tim McGraw,6roFdX1y5BYSbp60OTJWMd,0,0.514,0.777,7,-6.316,True,0.0323,0.0775,0.0,0.0874,0.69,161.8,198333,4.0,1,0
5oje0zWTZ2wbzU8lkRml7O,She'll Have You Back,A Place In The Sun,2EkJjknrgd5DeIH2x9HLjD,Tim McGraw,6roFdX1y5BYSbp60OTJWMd,0,0.3429999999999999,0.498,9,-8.221,True,0.0295,0.211,0.0,0.318,0.512,86.00299999999999,205000,4.0,1,1
1WoDxxbuAUmiw9rlaAsCgd,Somebody Must Be Prayin' For Me,A Place In The Sun,2EkJjknrgd5DeIH2x9HLjD,Tim McGraw,6roFdX1y5BYSbp60OTJWMd,0,0.5820000000000001,0.406,9,-9.154,True,0.0252,0.429,0.0,0.0986,0.287,139.84799999999998,233440,4.0,1,0
5BeY2wY4rGFD1Q3aXO83Bv,My Best Friend,A Place In The Sun,2EkJjknrgd5DeIH2x9HLjD,Tim McGraw,6roFdX1y5BYSbp60OTJWMd,0,0.444,0.484,9,-8.311,True,0.0289,0.12,0.0,0.135,0.263,147.715,279867,4.0,1,0
3vlzta1HWL2rqeimIHfLGK,Senorita Margarita,A Place In The Sun,2EkJjknrgd5DeIH2x9HLjD,Tim McGraw,6roFdX1y5BYSbp60OTJWMd,0,0.6,0.594,6,-7.239,True,0.027,0.185,0.0,0.078,0.396,102.936,230667,4.0,1,0
2cZGFVhPogaxV2eYm1V7KS,Some Things Never Change,A Place In The Sun,2EkJjknrgd5DeIH2x9HLjD,Tim McGraw,6roFdX1y5BYSbp60OTJWMd,0,0.575,0.496,4,-10.068,True,0.026,0.347,0.0,0.124,0.414,89.958,236600,4.0,1,0
4RyAmrMwErrCO7cki8xOa9,You Don't Love Me Anymore,A Place In The Sun,2EkJjknrgd5DeIH2x9HLjD,Tim McGraw,6roFdX1y5BYSbp60OTJWMd,0,0.422,0.39,10,-9.766,True,0.0274,0.586,0.0,0.125,0.3379999999999999,81.832,222933,4.0,1,1
